,City,FlightNumber,FlightStatus,OriginAirport,ScheduledTime,AirLine
23,EDDS,EW 4600,Arrived,Stockholm,2022-06-08 08:30+02:00,Eurowings
24,EDDS,EW 9050,Arrived,Duesseldorf,2022-06-08 08:15+02:00,Eurowings
25,EDDS,FR 4731,Arrived,Bergamo,2022-06-08 08:30+02:00,Ryanair
26,EDDS,IFA 334,Arrived,Unknown,2022-06-08 08:19+02:00,IFA
27,EDDS,LG 9471,Arrived,Luxembourg,2022-06-08 08:05+02:00,Luxair
28,EDDS,LH 174,Arrived,Frankfurt-am-Main,2022-06-08 08:55+02:00,Lufthansa
29,EDDS,LX 974,Arrived,Zurich,2022-06-08 08:45+02:00,SWISS
30,EDDS,MGR 1,Arrived,Vienna,2022-06-08 08:33+02:00,MGR
31,EDDS,NOZ 2XM,Arrived,Oslo,2022-06-08 08:58+02:00,NOZ
32,EDDS,OS 223,Arrived,Vienna,2022-06-08 08:15+02:00,Austrian
33,EDDS,R6 4841,Arrived,Unknown,2022-06-08 08:02+02:00,DOT LT
34,EDDS,TR 734,Arrived,Singapore,2022-06-08 08:00+02:00,Scoot
35,EDDS,U2 5182,Unknown,Milan,2022-06-08 08:45+02:00,easyJet
36,EDDS,W6 4275,Unknown,Tuzla,2022-06-08 08:00+02:00,Wizz Air
37,EDDS,W6 6407,Arrived,Kutaisi,2022-06-08 08:30+02:00,Wizz Air
38,EDDS,W6 8719,Arrived,Iaşi,2022-06-08 08:45+02:00,Wizz Air
39,EDDS,AF 1434,Arrived,Paris,2022-06-08 09:05+02:00,Air France
40,EDDS,AYY 108,Arrived,Unknown,2022-06-08 09:54+02:00,AYY
41,EDDS,DY 1102,Unknown,Oslo,2022-06-08 09:05+02:00,Norwegian Air Shuttle
42,EDDS,EC 35MK,Arrived,Copenhagen,2022-06-08 09:27+02:00,EasyJet Europe
43,EDDS,EC 42CM,Arrived,Palma De Mallorca,2022-06-08 09:52+02:00,EasyJet Europe
44,EDDS,EC 84GA,Arrived,Cologne,2022-06-08 09:38+02:00,EasyJet Europe
45,EDDS,EW 8001,Unknown,Stuttgart,2022-06-08 09:30+02:00,Eurowings
46,EDDS,EW 8059,Unknown,Cologne,2022-06-08 09:40+02:00,Eurowings
47,EDDS,FR 137,Arrived,Bologna,2022-06-08 09:15+02:00,Ryanair
48,EDDS,FR 2376,Arrived,Edinburgh,2022-06-08 09:30+02:00,Ryanair
49,EDDS,UA 962,Arrived,Newark,2022-06-08 07:50+02:00,United
50,EDDS,W6 4515,Arrived,Varna,2022-06-08 07:40+02:00,Wizz Air
51,EDDS,AHO 848V,Arrived,Copenhagen,2022-06-08 08:58+02:00,AHO
52,EDDS,JFA 68U,Arrived,Unknown,2022-06-08 09:30+02:00,JFA
53,EDDS,LH 176,Arrived,Frankfurt-am-Main,2022-06-08 09:55+02:00,Lufthansa
54,EDDS,LH 1930,Arrived,Munich,2022-06-08 09:05+02:00,Lufthansa
55,EDDS,LY 2371,Arrived,Tel Aviv Yafo,2022-06-08 09:40+02:00,El Al
56,EDDS,PP 240,Arrived,Zurich,2022-06-08 09:11+02:00,Jet Aviation Business
57,EDDS,TK 1721,Arrived,Istanbul,2022-06-08 09:45+02:00,Turkish
58,EDDS,U2 2101,Arrived,London,2022-06-08 09:20+02:00,easyJet
59,EDDS,U2 4895,Unknown,Nápoli,2022-06-08 09:20+02:00,easyJet
60,EDDS,U2 5630,CanceledUncertain,Bâle/Mulhouse,2022-06-08 09:45+02:00,easyJet
61,EDDS,U2 5682,CanceledUncertain,Copenhagen,2022-06-08 09:45+02:00,easyJet
62,EDDS,XR 3B,Arrived,Unknown,2022-06-08 09:35+02:00,Corendon  Europe
63,EDDS,BA 990,Arrived,London,2022-06-08 10:05+02:00,British Airways
64,EDDS,BN 1950,Arrived,Unknown,2022-06-08 10:32+02:00,BN
65,EDDS,EC 19UK,Arrived,Geneva,2022-06-08 10:59+02:00,EasyJet Europe
66,EDDS,FR 1155,Arrived,Manchester,2022-06-08 10:50+02:00,Ryanair
67,EDDS,FR 145,Arrived,London,2022-06-08 10:40+02:00,Ryanair
68,EDDS,FR 258,Arrived,Alicante,2022-06-08 10:35+02:00,Ryanair
69,EDDS,FR 263,Arrived,Palma De Mallorca,2022-06-08 10:45+02:00,Ryanair
70,EDDS,FR 8556,Arrived,Dublin,2022-06-08 10:35+02:00,Ryanair
71,EDDS,IB 3066,Arrived,Madrid,2022-06-08 10:45+02:00,Iberia
72,EDDS,LH 178,Arrived,Frankfurt-am-Main,2022-06-08 10:55+02:00,Lufthansa
73,EDDS,LH 1934,Arrived,Munich,2022-06-08 10:05+02:00,Lufthansa
74,EDDS,LX 976,Arrived,Zurich,2022-06-08 10:05+02:00,SWISS
75,EDDS,N5 40LF,Arrived,White Plains,2022-06-08 10:29+02:00,Nolinor
76,EDDS,SN 2581,Arrived,Brussels,2022-06-08 10:50+02:00,Brussels
77,EDDS,U2 4562,CanceledUncertain,Amsterdam,2022-06-08 10:30+02:00,easyJet
78,EDDS,U2 5512,Unknown,Cologne,2022-06-08 10:00+02:00,easyJet
79,EDDS,U2 5800,CanceledUncertain,Palma De Mallorca,2022-06-08 10:05+02:00,easyJet
80,EDDS,U2 7651,CanceledUncertain,Lisbon,2022-06-08 10:55+02:00,easyJet
81,EDDS,VY 1882,Arrived,Barcelona,2022-06-08 10:45+02:00,Vueling
82,EDDS,W2 1250,Unknown,Bolzano,2022-06-08 10:50+02:00,FlexFlight
83,EDDS,AF 1734,Arrived,Paris,2022-06-08 11:20+02:00,Air France
84,EDDS,BA 8491,Unknown,London,2022-06-08 11:10+02:00,British Airways
85,EDDS,BA 982,Arrived,London,2022-06-08 11:40+02:00,British Airways
86,EDDS,CJ 76JZ,Arrived,London,2022-06-08 11:13+02:00,BA Cityflyer
87,EDDS,EC 69GK,Arrived,London,2022-06-08 11:43+02:00,EasyJet Europe
88,EDDS,FB 319,Arrived,Sofia,2022-06-08 11:25+02:00,Bulgaria Air
89,EDDS,FPY 3,Arrived,Reykjavik,2022-06-08 11:22+02:00,FPY
90,EDDS,FR 135,Arrived,Rome,2022-06-08 11:10+02:00,Ryanair
91,EDDS,FH 281,Arrived,Antalya,2022-06-08 10:20+02:00,Freebird
92,EDDS,LO 387,Arrived,Warsaw,2022-06-08 11:05+02:00,LOT - Polish
93,EDDS,OG 700,Unknown,Reykjavik,2022-06-08 11:25+02:00,Ghodawat Enterprises
94,EDDS,SK 2677,Arrived,Stockholm,2022-06-08 11:25+02:00,SAS
95,EDDS,TK 7728,Arrived,Istanbul,2022-06-08 11:20+02:00,Turkish
96,EDDS,U2 1591,CanceledUncertain,Geneva,2022-06-08 11:15+02:00,easyJet
97,EDDS,U2 5882,CanceledUncertain,Stockholm,2022-06-08 11:45+02:00,easyJet
98,EDDS,U2 8209,CanceledUncertain,London,2022-06-08 11:55+02:00,easyJet
99,EDDS,XQ 160,Arrived,Antalya,2022-06-08 11:35+02:00,SunExpress
100,EDDS,AY 1433,Arrived,Helsinki,2022-06-08 12:25+02:00,Finnair
101,EDDS,EC 4544,Arrived,Nice,2022-06-08 12:46+02:00,EasyJet Europe
102,EDDS,EC 674L,Arrived,Rome,2022-06-08 12:33+02:00,EasyJet Europe
103,EDDS,EC 95UC,Arrived,Palma De Mallorca,2022-06-08 12:22+02:00,EasyJet Europe
104,EDDS,FOX 1606,Arrived,Oslo,2022-06-08 12:05+02:00,FOX
105,EDDS,FR 133,Arrived,Barcelona,2022-06-08 12:20+02:00,Ryanair
106,EDDS,FR 9955,Arrived,Pisa,2022-06-08 12:05+02:00,Ryanair
107,EDDS,GAC 960P,Arrived,Unknown,2022-06-08 12:12+02:00,GAC
108,EDDS,GFM 5X,Arrived,Unknown,2022-06-08 12:49+02:00,GFM
109,EDDS,GFM 6Y,Arrived,Unknown,2022-06-08 12:43+02:00,GFM
110,EDDS,LH 182,Arrived,Frankfurt-am-Main,2022-06-08 12:55+02:00,Lufthansa
111,EDDS,LH 1936,Arrived,Munich,2022-06-08 12:05+02:00,Lufthansa
112,EDDS,PC 979,Arrived,Istanbul,2022-06-08 12:10+02:00,Pegasus
113,EDDS,QR 81,Arrived,Doha,2022-06-08 12:55+02:00,Qatar Airways
114,EDDS,TP 538,Arrived,Lisbon,2022-06-08 12:25+02:00,TAP Air Portugal
115,EDDS,U2 4544,Unknown,Nice,2022-06-08 12:50+02:00,easyJet
116,EDDS,U2 5548,Arrived,Edinburgh,2022-06-08 12:55+02:00,easyJet
117,EDDS,U2 5702,CanceledUncertain,Rome,2022-06-08 12:35+02:00,easyJet
118,EDDS,U2 5802,CanceledUncertain,Palma De Mallorca,2022-06-08 12:20+02:00,easyJet
119,EDDS,FI 528,Arrived,Reykjavik,2022-06-08 13:10+02:00,Icelandair
120,EDDS,FR 111,Arrived,Palma De Mallorca,2022-06-08 13:25+02:00,Ryanair
121,EDDS,FR 235,Arrived,Málaga,2022-06-08 13:35+02:00,Ryanair
122,EDDS,KL 1825,Arrived,Amsterdam,2022-06-08 13:45+02:00,KLM
123,EDDS,EI 332,Arrived,Dublin,2022-06-08 10:00+02:00,Aer Lingus
124,EDDS,EC 72FX,Arrived,Lisbon,2022-06-08 10:28+02:00,EasyJet Europe
125,EDDS,KL 1823,Arrived,Amsterdam,2022-06-08 11:30+02:00,KLM
126,EDDS,LH 184,Arrived,Frankfurt-am-Main,2022-06-08 13:55+02:00,Lufthansa
127,EDDS,SM 2960,Arrived,Hurghada,2022-06-08 13:10+02:00,Air Cairo
128,EDDS,U2 4536,CanceledUncertain,Porto,2022-06-08 13:35+02:00,easyJet
129,EDDS,XQ 946,Arrived,İzmir,2022-06-08 13:40+02:00,SunExpress
130,EDDS,AF 1234,Arrived,Paris,2022-06-08 14:30+02:00,Air France
131,EDDS,EC 19KA,Arrived,Málaga,2022-06-08 14:01+02:00,EasyJet Europe
132,EDDS,EC 4365,Arrived,Bordeaux/Mérignac,2022-06-08 14:03+02:00,EasyJet Europe
133,EDDS,EC 59XB,Arrived,Barcelona,2022-06-08 14:45+02:00,EasyJet Europe
134,EDDS,EW 6892,Arrived,Palma De Mallorca,2022-06-08 14:30+02:00,Eurowings
135,EDDS,EW 8433,Arrived,Bastia/Poretta,2022-06-08 14:40+02:00,Eurowings
136,EDDS,FR 31,Arrived,Heraklion,2022-06-08 14:35+02:00,Ryanair
137,EDDS,LH 1942,Arrived,Munich,2022-06-08 14:05+02:00,Lufthansa
138,EDDS,LX 966,Arrived,Zurich,2022-06-08 14:10+02:00,SWISS
139,EDDS,OS 229,Arrived,Vienna,2022-06-08 14:20+02:00,Austrian
140,EDDS,SK 1673,CanceledUncertain,Copenhagen,2022-06-08 14:25+02:00,SAS
141,EDDS,U2 4522,CanceledUncertain,Málaga,2022-06-08 14:25+02:00,easyJet
142,EDDS,U2 4530,CanceledUncertain,Barcelona,2022-06-08 14:55+02:00,easyJet
143,EDDS,U2 4766,Unknown,Dubrovnik,2022-06-08 14:50+02:00,easyJet
144,EDDS,U2 5006,Unknown,Souda,2022-06-08 14:50+02:00,easyJet
145,EDDS,U2 5104,CanceledUncertain,Amsterdam,2022-06-08 14:40+02:00,easyJet
146,EDDS,BA 8493,Unknown,London,2022-06-08 15:55+02:00,British Airways
147,EDDS,BT 921,Arrived,Vilnius,2022-06-08 15:00+02:00,Air Baltic
148,EDDS,D8 4505,Unknown,Stockholm,2022-06-08 15:15+02:00,Norwegian Air International
149,EDDS,DFC 35J,Arrived,Unknown,2022-06-08 15:11+02:00,DFC
150,EDDS,EC 4564,Arrived,Amsterdam,2022-06-08 15:21+02:00,EasyJet Europe
151,EDDS,EC 68MQ,Arrived,Palma De Mallorca,2022-06-08 15:13+02:00,EasyJet Europe
152,EDDS,FR 1145,Arrived,Manchester,2022-06-08 15:40+02:00,Ryanair
153,EDDS,FR 197,Arrived,Budapest,2022-06-08 15:00+02:00,Ryanair
154,EDDS,FR 8544,Arrived,London,2022-06-08 15:40+02:00,Ryanair
155,EDDS,LH 188,Arrived,Frankfurt-am-Main,2022-06-08 15:55+02:00,Lufthansa
156,EDDS,NSZ 4505,Arrived,Stockholm,2022-06-08 15:16+02:00,NSZ
157,EDDS,U2 4564,CanceledUncertain,Amsterdam,2022-06-08 15:20+02:00,easyJet
158,EDDS,U2 5684,CanceledUncertain,Copenhagen,2022-06-08 15:55+02:00,easyJet
159,EDDS,U2 5816,CanceledUncertain,Palma De Mallorca,2022-06-08 15:20+02:00,easyJet
160,EDDS,U2 4365,Unknown,Bordeaux/Mérignac,2022-06-08 14:25+02:00,easyJet
161,EDDS,4U 91EH,Arrived,Duesseldorf,2022-06-08 16:02+02:00,Germanwings
162,EDDS,BA 984,Arrived,London,2022-06-08 16:05+02:00,British Airways
163,EDDS,CJ 93AU,Arrived,London,2022-06-08 16:12+02:00,BA Cityflyer
164,EDDS,D8 3302,CanceledUncertain,Copenhagen,2022-06-08 16:45+02:00,Norwegian Air International
165,EDDS,EC 47KY,Arrived,Goteborg,2022-06-08 16:17+02:00,EasyJet Europe
166,EDDS,EC 96CM,Arrived,Catania,2022-06-08 16:37+02:00,EasyJet Europe
167,EDDS,EW 2018,Unknown,Stuttgart,2022-06-08 16:30+02:00,Eurowings
168,EDDS,EW 4342,Arrived,Salzburg,2022-06-08 16:30+02:00,Eurowings
169,EDDS,EW 50,Unknown,Cologne,2022-06-08 16:20+02:00,Eurowings
170,EDDS,EW 9040,Unknown,Duesseldorf,2022-06-08 16:10+02:00,Eurowings
171,EDDS,FR 8950,Arrived,Marseille,2022-06-08 16:35+02:00,Ryanair
172,EDDS,JKH 1A,Arrived,Hamburg,2022-06-08 16:46+02:00,JKH
173,EDDS,KL 1829,Arrived,Amsterdam,2022-06-08 16:45+02:00,KLM
174,EDDS,LH 1944,Arrived,Munich,2022-06-08 16:05+02:00,Lufthansa
175,EDDS,NSZ 3302,Arrived,Copenhagen,2022-06-08 16:35+02:00,NSZ
176,EDDS,OS 231,Arrived,Vienna,2022-06-08 16:15+02:00,Austrian
177,EDDS,TP 530,Arrived,Lisbon,2022-06-08 16:30+02:00,TAP Air Portugal
178,EDDS,U2 4606,Unknown,Thessaloniki,2022-06-08 16:00+02:00,easyJet
179,EDDS,U2 4676,Unknown,Milan,2022-06-08 16:15+02:00,easyJet
180,EDDS,U2 5690,Unknown,Rodes Island,2022-06-08 16:55+02:00,easyJet
181,EDDS,U2 5694,CanceledUncertain,Catania,2022-06-08 16:50+02:00,easyJet
182,EDDS,U2 5722,CanceledUncertain,Goteborg,2022-06-08 16:30+02:00,easyJet
183,EDDS,U2 8456,CanceledUncertain,London,2022-06-08 16:15+02:00,easyJet
184,EDDS,FR 4067,Arrived,Tenerife Island,2022-06-08 17:05+02:00,Ryanair
185,EDDS,TK 1725,Arrived,Istanbul,2022-06-08 14:05+02:00,Turkish
186,EDDS,SL 1673,Arrived,Copenhagen,2022-06-08 14:36+02:00,SAS Ireland
187,EDDS,4U 50,Arrived,Cologne,2022-06-08 16:09+02:00,Germanwings
188,EDDS,EW 4346,Unknown,Salzburg,2022-06-08 07:40+02:00,Eurowings
189,EDDS,EW 8058,Unknown,Berlin,2022-06-08 07:55+02:00,Eurowings
190,EDDS,LH 1972,Unknown,Munich,2022-06-08 07:50+02:00,Lufthansa
191,EDDS,FR 5531,Unknown,Bergamo,2022-06-08 08:20+02:00,Ryanair
192,EDDS,OS 191,Unknown,Vienna,2022-06-08 08:55+02:00,Austrian
193,EDDS,U2 5511,Unknown,Berlin,2022-06-08 08:15+02:00,easyJet
194,EDDS,ABR 423,Approaching,Milan,2022-06-08 09:51+02:00,ABR
195,EDDS,EW 33,Unknown,Hamburg,2022-06-08 09:35+02:00,Eurowings
196,EDDS,FR 1591,Unknown,Bristol,2022-06-08 09:40+02:00,Ryanair
197,EDDS,FR 2814,Unknown,London,2022-06-08 09:45+02:00,Ryanair
198,EDDS,LH 1974,Unknown,Munich,2022-06-08 09:20+02:00,Lufthansa
199,EDDS,4U 81,Approaching,Munich,2022-06-08 10:00+02:00,Germanwings
200,EDDS,EW 493,Unknown,Sarajevo,2022-06-08 10:40+02:00,Eurowings
201,EDDS,EW 757,Unknown,Vienna,2022-06-08 10:35+02:00,Eurowings
202,EDDS,EW 765,Unknown,Zurich,2022-06-08 10:20+02:00,Eurowings
203,EDDS,EW 81,Unknown,Munich,2022-06-08 10:10+02:00,Eurowings
204,EDDS,FR 1405,Unknown,Warsaw,2022-06-08 10:25+02:00,Ryanair
205,EDDS,FR 7207,Unknown,Palma De Mallorca,2022-06-08 10:20+02:00,Ryanair
206,EDDS,EC 391M,Approaching,Berlin,2022-06-08 07:59+02:00,EasyJet Europe
207,EDDS,ABR 442,Approaching,Barcelona,2022-06-08 11:25+02:00,ABR
208,EDDS,EW 461,Unknown,London,2022-06-08 11:15+02:00,Eurowings
209,EDDS,EW 545,Unknown,Ibiza Town,2022-06-08 11:45+02:00,Eurowings
210,EDDS,EW 675,Unknown,Santorini Island,2022-06-08 11:55+02:00,Eurowings
211,EDDS,EW 845,Unknown,Olbia,2022-06-08 11:35+02:00,Eurowings
212,EDDS,EW 877,Unknown,Bari,2022-06-08 11:25+02:00,Eurowings
213,EDDS,FR 2511,Unknown,Barcelona,2022-06-08 11:00+02:00,Ryanair
214,EDDS,IB 3146,Approaching,Unknown,2022-06-08 11:15+02:00,Iberia
215,EDDS,YW 3146,Approaching,Unknown,2022-06-08 11:15+02:00,Air Nostrum
216,EDDS,EW 659,Unknown,Kos Island,2022-06-08 12:20+02:00,Eurowings
217,EDDS,EW 677,Unknown,Heraklion,2022-06-08 12:55+02:00,Eurowings
218,EDDS,LH 1976,Unknown,Munich,2022-06-08 12:15+02:00,Lufthansa
219,EDDS,PC 1011,Unknown,Istanbul,2022-06-08 12:05+02:00,Pegasus
220,EDDS,FHM 5172,Approaching,Rodes Island,2022-06-08 13:48+02:00,FHM
221,EDDS,FR 6306,Unknown,Sofia,2022-06-08 13:05+02:00,Ryanair
222,EDDS,FR 7646,Unknown,Budapest,2022-06-08 13:55+02:00,Ryanair
223,EDDS,FR 8805,Unknown,Málaga,2022-06-08 13:15+02:00,Ryanair
224,EDDS,FR 9972,Arrived,Porto,2022-06-08 13:30+02:00,Ryanair
225,EDDS,6Y 1304,Unknown,Hurghada,2022-06-08 14:15+02:00,SmartLynx
226,EDDS,EW 815,Unknown,Venice,2022-06-08 14:50+02:00,Eurowings
227,EDDS,EW 887,Canceled,Rome,2022-06-08 14:35+02:00,Eurowings
228,EDDS,EW 363,Arrived,Edinburgh,2022-06-08 15:30+02:00,Eurowings
229,EDDS,EW 425,Arrived,Nice,2022-06-08 15:10+02:00,Eurowings
230,EDDS,FR 2507,Approaching,Barcelona,2022-06-08 15:50+02:00,Ryanair
231,EDDS,FR 8035,Approaching,Dublin,2022-06-08 15:50+02:00,Ryanair
232,EDDS,5X 31,Approaching,Unknown,2022-06-08 16:47+02:00,UPS
233,EDDS,EW 839,Unknown,Bologna,2022-06-08 16:10+02:00,Eurowings
234,EDDS,FR 2816,Unknown,London,2022-06-08 16:35+02:00,Ryanair
235,EDDS,FR 5206,Unknown,Luqa,2022-06-08 16:10+02:00,Ryanair
236,EDDS,QY 2696,Arrived,London,2022-06-08 06:52+02:00,EAT Leipzig
237,EDDS,TK 1671,Unknown,Istanbul,2022-06-08 10:05+02:00,Turkish
238,EDDS,SR 21JL,Arrived,Unknown,2022-06-08 07:36+02:00,SundAir
239,EDDS,FR 8455,Arrived,Zadar,2022-06-08 08:15+02:00,Ryanair
240,EDDS,LH 2188,Arrived,Munich,2022-06-08 08:40+02:00,Lufthansa
241,EDDS,FR 9509,Arrived,London,2022-06-08 09:30+02:00,Ryanair
242,EDDS,KL 1753,Arrived,Amsterdam,2022-06-08 09:40+02:00,KLM
243,EDDS,LH 352,Arrived,Frankfurt-am-Main,2022-06-08 10:40+02:00,Lufthansa
244,EDDS,NJE 786Q,Arrived,Enschede,2022-06-08 10:18+02:00,NJE
245,EDDS,XQ 218,Arrived,Antalya,2022-06-08 10:10+02:00,SunExpress
246,EDDS,LH 2192,Arrived,Munich,2022-06-08 12:50+02:00,Lufthansa
247,EDDS,7E 508E,Arrived,London,2022-06-08 14:34+02:00,Sylt Air
248,EDDS,FR 7601,Arrived,Vilnius,2022-06-08 14:35+02:00,Ryanair
249,EDDS,FR 3675,Arrived,London,2022-06-08 16:05+02:00,Ryanair
250,EDDS,LH 2194,Arrived,Munich,2022-06-08 16:05+02:00,Lufthansa
251,EDDS,TK 1333,Arrived,Istanbul,2022-06-08 17:15+02:00,Turkish
252,EDDS,LH 350,Arrived,Frankfurt-am-Main,2022-06-08 07:40+02:00,Lufthansa
253,EDDS,EW 2030,Unknown,Stuttgart,2022-06-08 07:20+02:00,Eurowings
254,EDDS,4U 3NJ,Arrived,Stuttgart,2022-06-08 07:18+02:00,Germanwings
255,EDDS,DCS 713,Arrived,Unknown,2022-06-08 08:35+02:00,DCS
256,EDDS,LH 2122,Arrived,Munich,2022-06-08 09:20+02:00,Lufthansa
257,EDDS,LH 206,Arrived,Frankfurt-am-Main,2022-06-08 10:05+02:00,Lufthansa
258,EDDS,LH 2124,Arrived,Munich,2022-06-08 12:35+02:00,Lufthansa
259,EDDS,SR 83DF,Arrived,Unknown,2022-06-08 12:41+02:00,SundAir
260,EDDS,KL 1807,Arrived,Amsterdam,2022-06-08 13:35+02:00,KLM
261,EDDS,LH 210,Arrived,Frankfurt-am-Main,2022-06-08 14:25+02:00,Lufthansa
262,EDDS,AELIA 65,Arrived,Unknown,2022-06-08 15:54+02:00,AELIA
263,EDDS,DCS 705,Arrived,Unknown,2022-06-08 15:18+02:00,DCS
264,EDDS,DOR 822,Arrived,Unknown,2022-06-08 16:23+02:00,DOR
265,EDDS,EW 9028,Unknown,Duesseldorf,2022-06-08 07:55+02:00,Eurowings
266,EDDS,4U 7VG,Arrived,Duesseldorf,2022-06-08 07:38+02:00,Germanwings
267,EDDS,SR 61TF,Arrived,Unknown,2022-06-08 06:43+02:00,SundAir
268,EDDS,ECA 2RT,Approaching,Cologne,2022-06-08 08:09+02:00,ECA
269,EDDS,FR 3563,Unknown,Thessaloniki,2022-06-08 08:35+02:00,Ryanair
270,EDDS,W6 1091,Unknown,Katowice,2022-06-08 08:40+02:00,Wizz Air
271,EDDS,W6 1661,Unknown,Gdańsk,2022-06-08 08:50+02:00,Wizz Air
272,EDDS,W6 3361,Unknown,Cluj-Napoca,2022-06-08 08:55+02:00,Wizz Air
273,EDDS,W6 3531,Unknown,Timişoara,2022-06-08 08:05+02:00,Wizz Air
274,EDDS,W6 3655,Unknown,Iaşi,2022-06-08 08:50+02:00,Wizz Air
275,EDDS,EW 4065,Unknown,Munich,2022-06-08 09:05+02:00,Eurowings
276,EDDS,W6 3841,Unknown,Tirana,2022-06-08 09:40+02:00,Wizz Air
277,EDDS,XQ 240,Unknown,Antalya,2022-06-08 09:05+02:00,SunExpress
278,EDDS,EW 4085,Unknown,Venice,2022-06-08 11:05+02:00,Eurowings
279,EDDS,EW 4035,Unknown,Málaga,2022-06-08 13:05+02:00,Eurowings
280,EDDS,W6 4091,Unknown,Belgrade,2022-06-08 13:20+02:00,Wizz Air
281,EDDS,W6 2291,Unknown,Budapest,2022-06-08 14:30+02:00,Wizz Air
282,EDDS,W6 4692,Unknown,Suceava,2022-06-08 14:55+02:00,Wizz Air
283,EDDS,EW 4099,Unknown,Palma De Mallorca,2022-06-08 15:20+02:00,Eurowings
284,EDDS,FR 1788,Unknown,London,2022-06-08 15:15+02:00,Ryanair
285,EDDS,FR 4925,Unknown,Kraków,2022-06-08 15:05+02:00,Ryanair
286,EDDS,W6 4331,Unknown,Sofia,2022-06-08 15:35+02:00,Wizz Air
287,EDDS,W6 4443,Unknown,Plovdiv,2022-06-08 15:35+02:00,Wizz Air
288,EDDS,W6 7721,Unknown,Skopje,2022-06-08 15:40+02:00,Wizz Air
289,EDDS,4U 6J,Arrived,Munich,2022-06-08 08:52+02:00,Germanwings
290,EDDS,W6 4623,Arrived,Sarajevo,2022-06-08 16:00+02:00,Wizz Air
291,EDDS,W6 3091,Unknown,Bucharest,2022-06-08 07:50+02:00,Wizz Air
292,EDDS,FR 6892,Unknown,Katowice,2022-06-08 07:35+02:00,Ryanair
293,EDDS,W6 7785,Unknown,Prishtina,2022-06-08 15:10+02:00,Wizz Air
294,EDDS,XQ 782,Arrived,Adana,2022-06-08 06:35+02:00,SunExpress
295,EDDS,XQ 794,Arrived,Ankara,2022-06-08 06:15+02:00,SunExpress
296,EDDS,EW 4334,Arrived,Salzburg,2022-06-08 07:50+02:00,Eurowings
297,EDDS,XQ 734,Arrived,Elazığ,2022-06-08 06:50+02:00,SunExpress
298,EDDS,XQ 730,Arrived,Trabzon,2022-06-08 07:00+02:00,SunExpress
299,EDDS,9U 825,Arrived,Chişinău,2022-06-08 08:05+02:00,Air Moldova
300,EDDS,AF 1306,Arrived,Paris,2022-06-08 08:25+02:00,Air France
301,EDDS,BA 8241,CanceledUncertain,Friedrichshafen,2022-06-08 08:25+02:00,British Airways
302,EDDS,JU 320,Arrived,Belgrade,2022-06-08 08:40+02:00,Air Serbia
303,EDDS,LH 2004,Arrived,Munich,2022-06-08 08:40+02:00,Lufthansa
304,EDDS,LH 5793,Arrived,Zurich,2022-06-08 08:45+02:00,Lufthansa
305,EDDS,LX 1016,Arrived,Zurich,2022-06-08 08:45+02:00,SWISS
306,EDDS,TK 7802,Arrived,Ankara,2022-06-08 08:35+02:00,Turkish
307,EDDS,XQ 968,Arrived,İzmir,2022-06-08 08:55+02:00,SunExpress
